,Configuration,Year,CAP,LSO,LSW,MSO,MSW,HSO,HSW,count_config
15,Config_0,2020,5814.33465769,140.0,1861.66930055,1040.6695564,104.787278,52.0,1.651671,198
31,Config_1,2020,5481.1889943,191.1449254,1351.511199,1132.3310242,102.3923819,224.87774961,15.352210099999999,115
47,Config_10,2020,7123.049989,398.283882,1465.6141074,2229.3872784,939.25151,81.6633769,11.06215,42
63,Config_11,2020,10578.050964119,551.3105253,3054.57978119,2426.0584857,621.152804,360.265912363,33.9687192,86
76,Config_12,2020,86.0,0.0,81.09144,0.0,0.0,0.0,0.0,1
92,Config_13,2020,667.0000038000001,0.0,60.79031,0.0,120.0,0.0,0.0,9
108,Config_14,2020,110.0,4.903616,7.005165,34.07572,0.0,21.0155,0.0,1
124,Config_15,2020,1483.13999,9.2,60.47248,466.644022,77.27441999999999,35.319753,13.5,15
140,Config_16,2020,3566.70999,488.460032,420.675603,1396.992651,196.7024116,8.35064091,54.121981000000005,18
156,Config_17,2020,1407.5143,206.31531999999999,241.54868065,241.164511,234.153489,115.193237611,6.56112417,9
172,Config_18,2020,7364.739953,284.8032985,2171.5376614,2242.573019,357.7776357,76.45731310000001,15.1266283,40
181,Config_19,2020,140.0,0.0,0.0,0.0,0.0,0.0,0.0,1
197,Config_2,2020,1202.9999982,22.77429,121.31046,87.93849,284.11975,1.0,10.0,14
213,Config_20,2020,865.0,282.0547,17.628423,268.83344,183.7,17.628423,0.0,2
229,Config_21,2020,689.5,0.0,151.9372904,46.57009,125.020405,34.01699,7.807705,7
256,Config_23,2020,1264.59,35.84034,295.13800000000003,456.37417000000005,20.0,33.47076,0.0,5
272,Config_24,2020,3645.489989,133.4091698,559.95355698,1900.312926,232.769811,232.7223614,6.950319,20
288,Config_25,2020,13105.8350122,321.34754,2363.3344154,2365.3339311,645.40722034,2359.11876219,151.7621808,89
304,Config_26,2020,392.99999,0.0,25.37852,205.75982,22.55868,36.099180000000004,0.0,2
320,Config_27,2020,1220.0,67.25,197.9123,484.41729,244.81516,1.957295,26.9,5
336,Config_28,2020,913.0,445.4716,93.684154,151.14214,49.24812,86.50898,0.0,2
346,Config_29,2020,1040.0,319.8163,15.86556,262.1993,147.0,96.0284,11.69041,2
362,Config_3,2020,364.9000001,0.0,101.0,0.0,72.29236,0.0,0.0,6
378,Config_30,2020,4172.699999,506.281717,410.5197702,1399.34895,161.41181,385.428906,32.86181,24
394,Config_31,2020,1092.99,0.0,138.51168,92.66129000000001,95.516758,185.84835999999999,0.0,6
410,Config_32,2020,2329.36554,272.42668534,328.440049,829.939303,69.01574500000001,75.9459685,7.0629170000000006,11
426,Config_33,2020,16397.88999,621.4298195,3400.8319159,4596.5776774,859.0367662,2720.8046668,521.8229883,68
442,Config_34,2020,398.0,0.1586785,172.1268,78.96243199999999,52.40358,1.527404,0.0,2
457,Config_35,2020,340.0,14.35123,40.18764,76.485203,39.380416000000004,76.7166,1.002754,2
473,Config_36,2020,4211.98001,487.016942,426.532128,1295.46397,325.272107,485.48633,229.242397,15
489,Config_37,2020,190.000001,93.28186,10.0,90.83294,23.3457,5.336684,5.752619,1
505,Config_38,2020,499.98,0.0,319.1265,27.20928,0.0,33.13754,0.0,1
514,Config_39,2020,621.0,29.0,36.25,157.3075,0.0,147.52874,108.3748,2
530,Config_4,2020,476.8000099,7.0,168.94768,32.783667,14.209591,0.0,0.0,12
546,Config_5,2020,396.603992,0.0,78.43585,0.0,95.87484599999999,0.0,0.0,9
562,Config_6,2020,3071.06,239.54904,567.9947540000001,1026.9204300000001,430.111686,11.849541089999999,12.277467,18
578,Config_7,2020,356.0,50.0,70.3925,0.0,88.6075,0.0,0.0,3
594,Config_8,2020,97.0,0.0,8.767911,18.96397,0.0,21.96812,0.0,2
610,Config_9,2020,146.0,0.0,0.0,0.0,0.0,0.0,0.0,2
