Configuration,CAP
Config_0,5814.334658
Config_1,5481.188994
Config_10,7123.049989
Config_11,10578.05096
Config_12,86
Config_13,667.0000038
Config_14,110
Config_15,1483.13999
Config_16,3566.70999
Config_17,1407.5143
Config_18,7364.739953
Config_19,140
Config_2,1202.999998
Config_20,865
Config_21,689.5
Config_23,1264.59
Config_24,3645.489989
Config_25,13105.83501
Config_26,392.99999
Config_27,1220
Config_28,913
Config_29,1040
Config_3,364.9000001
Config_30,4172.699999
Config_31,1092.99
Config_32,2329.36554
Config_33,16397.88999
Config_34,398
Config_35,340
Config_36,4211.98001
Config_37,190.000001
Config_38,499.98
Config_39,621
Config_4,476.8000099
Config_5,396.603992
Config_6,3071.06
Config_7,356
Config_8,97
Config_9,146
